"filename", "language", "JavaScript", "JSON", "CSS", "XML", "comment", "blank", "total"
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\layouts\search\components\Transaction\index.js", "JavaScript", 48, 0, 0, 0, 18, 7, 73
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\layouts\search\components\Transactions\index.js", "JavaScript", 99, 0, 0, 0, 19, 6, 124
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\layouts\search\components\form\page1\index.js", "JavaScript", 197, 0, 0, 0, 3, 7, 207
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\layouts\search\components\form\page2\index.js", "JavaScript", 127, 0, 0, 0, 2, 5, 134
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\layouts\search\components\form\page2\languageForm.js", "JavaScript", 160, 0, 0, 0, 1, 5, 166
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\layouts\search\components\form\page3\fileupload.js", "JavaScript", 33, 0, 0, 0, 2, 7, 42
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\layouts\search\components\form\page3\index.js", "JavaScript", 154, 0, 0, 0, 2, 5, 161
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\layouts\search\idcard.js", "JavaScript", 35, 0, 0, 0, 1, 5, 41
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\layouts\search\index.js", "JavaScript", 108, 0, 0, 0, 16, 8, 132
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\layouts\search\lazyimage.js", "JavaScript", 23, 0, 0, 0, 1, 3, 27
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\layouts\share\index.js", "JavaScript", 131, 0, 0, 0, 15, 8, 154
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\layouts\trasury managment\components\codemanager\index.js", "JavaScript", 264, 0, 0, 0, 11, 17, 292
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\layouts\trasury managment\components\modal\index.js", "JavaScript", 40, 0, 0, 0, 116, 4, 160
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\layouts\trasury managment\index.js", "JavaScript", 164, 0, 0, 0, 38, 16, 218
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\layouts\users\components\modal\index.js", "JavaScript", 19, 0, 0, 0, 94, 3, 116
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\layouts\users\components\userform\index.js", "JavaScript", 89, 0, 0, 0, 40, 4, 133
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\layouts\users\index.js", "JavaScript", 347, 0, 0, 0, 21, 19, 387
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\routes.js", "JavaScript", 157, 0, 0, 0, 37, 6, 200
"Total", "-", 23505, 2, 7, 260, 5183, 2998, 31955
